Node,Degree Centrality,Page Rank,Betweeness Centrality,Closeness Centrality
1084,176,78.01529727,78.01529727,0.1462783642
1688,146,64.25872393,64.25872393,0.1588227331
2185,1,0.5267504246,0.5267504246,0.1276127114
2405,162,71.82539125,71.82539125,0.1509488582
2426,1,0.523109861,0.523109861,0.1434437086
4598,1,0.549939626,0.549939626,0.5142857143
4908,1,0.5287236201,0.5287236201,0.5018867925
5242,146,64.7845535,64.7845535,0.09290616339
9008,1,0.5267504246,0.5267504246,0.1276127114
10038,1,0.5266969304,0.5266969304,0.1238280357
12514,186,81.65125992,81.65125992,0.1674636026
18893,1,0.523109861,0.523109861,0.1434437086
23993,1,0.4962191574,0.4962191574,0.1858908342
30393,1,0.513568361,0.513568361,0.1461295747
39933,1,0.5215179336,0.5215179336,0.1631250869
40743,1,0.523109861,0.523109861,0.1434437086
43313,1,0.4868308399,0.4868308399,0.1514229172
56623,1,0.4962013989,0.4962013989,0.1837557754
67313,1,0.5267504246,0.5267504246,0.1276127114
313743,1,0.5266969304,0.5266969304,0.1238280357
471963,1,0.5081833792,0.5081833792,0.1858908342
476083,1,0.4962191574,0.4962191574,0.1858908342
617293,1,0.5157832797,0.5157832797,0.1650140647
623543,2,0.9002258178,0.9002258178,0.1859546703
627213,1,0.5267504246,0.5267504246,0.1276127114
642103,1,0.513568361,0.513568361,0.1461295747
642493,1,0.5268314521,0.5268314521,0.1311528859
648233,1,0.513568361,0.513568361,0.1461295747
663923,1,0.5108080636,0.5108080636,0.1653940134
667303,1,0.5258584431,0.5258584431,0.1492083342
667873,1,0.549939626,0.549939626,0.5142857143
670293,1,0.5330181592,0.5330181592,0.5043478261
689273,1,0.5207298209,0.5207298209,0.1438982011
710013,1,0.523109861,0.523109861,0.1434437086
712843,2,0.8857730763,0.8857730763,0.1564402862
737813,1,0.5147063156,0.5147063156,0.1438599718
740943,1,0.5215179336,0.5215179336,0.1631250869
743313,1,0.5073915127,0.5073915127,0.172089669
755452,1,0.5206701972,0.5206701972,0.1209369846
756191,1,0.523109861,0.523109861,0.1434437086
757662,1,0.5513829292,0.5513829292,0.5151515152
763642,1,0.4777606374,0.4777606374,0.1878753103
