Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
767,1,0.4949054393,0,0.1774350566
1077,1,0.4949054393,0,0.1774350566
1495,1,0.5065079473,0,0.1698631481
1644,1,0.5183009249,0,0.161985172
1688,136,58.12881466,1832870.297,0.1991259847
1688,3,1.176397121,802403.8425,0.1708794394
1737,1,0.5138986805,0,0.1504180693
2796,1,0.5235171686,0,0.1455806621
3032,224,98.21905196,4315292.895,0.1722135886
3382,1,0.5324137599,0,0.504
3977,1,0.5242486101,0,0.1446684073
10140,1,0.5148774809,0,0.1599021102
10178,224,98.43875614,6214982.665,0.1703833995
10216,1,0.5294180931,0,0.502283105
10545,29,13.10045536,387450,0.1193448612
11552,1,0.4949054393,0,0.1774350566
11848,1,0.5226839739,0,0.1469147063
12397,1,0.5226839739,0,0.1469147063
13310,1,0.5218349112,0,0.1628842219
13410,1,0.4921246501,0,0.1590867328
13413,142,57.62594381,9100444.239,0.2157061214
13696,1,0.4949054393,0,0.1774350566
14273,1,0.5235171686,0,0.1455806621
21993,1,0.5242486101,0,0.1446684073
22073,1,0.5173695661,0,0.1591708225
35993,1,0.5055314052,0,0.1778268461
36713,1,0.5338318903,0,0.1066210995
48903,1,0.5252243692,0,0.1353659728
64293,1,0.5216771254,0,0.155211438
66393,1,0.5055314052,0,0.1778268461
66803,1,0.5235171686,0,0.1455806621
79543,1,0.5216771254,0,0.155211438
168943,1,0.5219780422,0,0.138356739
211523,1,0.5215602686,0,0.1612272452
246103,1,0.5020010248,0,0.1721258512
273383,1,0.526522584,0,0.1135800849
348003,1,0.5252243692,0,0.1353659728
403823,1,0.5338318903,0,0.1066210995
483223,1,0.4947437553,0,0.1579223385
484513,1,0.5218349112,0,0.1628842219
608473,1,0.4949054393,0,0.1774350566
609033,1,0.526522584,0,0.1135800849
610803,1,0.5230694623,0,0.1429308459
616173,1,0.5065079473,0,0.1698631481
625323,1,0.5116198477,0,0.1691165698
631583,1,0.5171776873,0,0.1522833711
636843,1,0.4949054393,0,0.1774350566
649133,1,0.5171776873,0,0.1522833711
650223,1,0.5055314052,0,0.1778268461
659333,1,0.5242486101,0,0.1446684073
663923,1,0.4949054393,0,0.1774350566
670103,1,0.4854086818,0,0.1644896214
675633,1,0.5218349112,0,0.1628842219
685913,1,0.5218349112,0,0.1628842219
694563,1,0.5112857449,0,0.1621254682
702953,1,0.4949054393,0,0.1774350566
706743,1,0.5171776873,0,0.1522833711
707513,1,0.5242486101,0,0.1446684073
709853,1,0.5226839739,0,0.1469147063
711493,1,0.5242486101,0,0.1446684073
712173,1,0.5242486101,0,0.1446684073
